Country Code,Economy,Income Group,Year,Latitude,Longitude
CYM,Cayman Islands,NA,1991,"19,331","-81,25"
CAN,Canada,High income (H),1991,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),1991,"4,4","12,131"
KHM,Cambodia,Low income (L),1991,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),1991,"15,416","-23,36"
BDI,Burundi,Low income (L),1991,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),1991,"12,673","-1,226"
BGR,Bulgaria,Lower middle income (LM),1991,"42,625","24,521"
BRN,Brunei Darussalam,High income (H),1991,"4,452","114,557"
VGB,British Virgin Islands,NA,1991,"18,439","-64,586"
BRA,Brazil,Upper middle income (UM),1991,"-11,694","-48,978"
BWA,Botswana,Upper middle income (UM),1991,"-22,126","23,662"
BIH,Bosnia and Herzegovina,NA,1991,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),1991,"-16,71","-65,183"
BTN,Bhutan,Low income (L),1991,"274,902","902,151"
BMU,Bermuda,High income (H),1991,"32,3","-64,761"
BEN,Benin,Low income (L),1991,"10,478","2,274"
BLZ,Belize,Lower middle income (LM),1991,"17,108","-88,744"
BEL,Belgium,High income (H),1991,"506,745","44,588"
BLR,Belarus,Upper middle income (UM),1991,"533,292","279,492"
BRB,Barbados,Upper middle income (UM),1991,"13,147","-59,557"
BGD,Bangladesh,Low income (L),1991,"24,598","901,963"
BHR,Bahrain,Upper middle income (UM),1991,"26,028","50,55"
BHS,"Bahamas, The",High income (H),1991,"24,616","-77,989"
AZE,Azerbaijan,Lower middle income (LM),1991,"40,46","47,883"
AUT,Austria,High income (H),1991,"47,65","14,705"
AUS,Australia,High income (H),1991,"-24,578","133,582"
ABW,Aruba,Upper middle income (UM),1991,"12,556","-70,024"
ARM,Armenia,Lower middle income (LM),1991,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),1991,"-33,166","-64,31"
ATG,Antigua and Barbuda,Upper middle income (UM),1991,"17,625","-61,786"
AGO,Angola,Lower middle income (LM),1991,"-12,836","17,808"
AND,Andorra,High income (H),1991,"42,541","1,546"
ASM,American Samoa,Upper middle income (UM),1991,"-14,316","-170,76"
DZA,Algeria,Lower middle income (LM),1991,"286,045","2,64"
ALB,Albania,Lower middle income (LM),1991,"40,654","20,076"
AFG,Afghanistan,Low income (L),1991,"34,023","655,267"
ZWE,Zimbabwe,Low income (L),1992,"-19,098","30,047"
ZMB,Zambia,Low income (L),1992,"-15,13","25,268"
YEM,"Yemen, Rep.",Low income (L),1992,"15,569","47,793"
PSE,West Bank and Gaza,NA,1992,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),1992,"17,74","-64,8"
VNM,Vietnam,Low income (L),1992,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),1992,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),1992,"-15,339","166,89"
UZB,Uzbekistan,Lower middle income (LM),1992,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),1992,"-32,948","-56,249"
USA,United States,High income (H),1992,"400,792","-988,164"
GBR,United Kingdom,High income (H),1992,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),1992,"239,299","539,031"
UKR,Ukraine,Lower middle income (LM),1992,"49,364","32,132"
UGA,Uganda,Low income (L),1992,"19,392","327,415"
TUV,Tuvalu,NA,1992,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,1992,"21,816","-71,799"
TKM,Turkmenistan,Lower middle income (LM),1992,"39,584","59,597"
TUR,Turkey,Lower middle income (LM),1992,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),1992,"35,594","9,421"
TTO,Trinidad and Tobago,Upper middle income (UM),1992,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),1992,"-21,167","-175,19"
TGO,Togo,Low income (L),1992,"7,7","1,106"
TLS,Timor-Leste,NA,1992,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),1992,"15,688","100,845"
TZA,Tanzania,Low income (L),1992,"-5,651","34,146"
TJK,Tajikistan,Low income (L),1992,"38,367","72,597"
TWN,"Taiwan, China",High income (H),1992,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),1992,"35,303","38,322"
CHE,Switzerland,High income (H),1992,"467,794","80,329"
SWE,Sweden,High income (H),1992,"662,188",19
SWZ,Swaziland,Lower middle income (LM),1992,"-26,596","31,47"
SUR,Suriname,Upper middle income (UM),1992,"4,248","-55,848"
SDN,Sudan,Low income (L),1992,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Lower middle income (LM),1992,"13,234","-61,202"
MAF,St. Martin (French part),NA,1992,"18,081","-63,046"
LCA,St. Lucia,Upper middle income (UM),1992,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),1992,"17,147","-62,58"
LKA,Sri Lanka,Low income (L),1992,"7,3","80,727"
ESP,Spain,High income (H),1992,"40,617","-3,388"
SSD,South Sudan,NA,1992,"7,1","30,48"
ZAF,South Africa,Upper middle income (UM),1992,"-31,7","23,441"
SOM,Somalia,Low income (L),1992,"2,875","43,446"
SLB,Solomon Islands,Lower middle income (LM),1992,"-9,611","160,19"
SVN,Slovenia,Upper middle income (UM),1992,"46,037","14,534"
SVK,Slovak Republic,Lower middle income (LM),1992,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,1992,"18,041","-63,066"
SGP,Singapore,High income (H),1992,"1,364","103,81"
SLE,Sierra Leone,Low income (L),1992,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),1992,"-4,627","55,461"
SRB,Serbia,NA,1992,"44,021","20,699"
SEN,Senegal,Lower middle income (LM),1992,"15,044","-15,081"
SAU,Saudi Arabia,Upper middle income (UM),1992,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),1992,"0,233","6,589"
SMR,San Marino,High income (H),1992,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),1992,"-13,625","-172,42"
RWA,Rwanda,Low income (L),1992,"-1,887","29,904"
RUS,Russian Federation,Lower middle income (LM),1992,"64,736","104,062"
ROU,Romania,Lower middle income (LM),1992,"45,933","25,119"
QAT,Qatar,High income (H),1992,"25,168","51,17"
PRI,Puerto Rico,Upper middle income (UM),1992,"18,242","-66,643"
PRT,Portugal,Upper middle income (UM),1992,"40,957","-79,373"
POL,Poland,Lower middle income (LM),1992,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),1992,"17,181","121,256"
PER,Peru,Lower middle income (LM),1992,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),1992,"-23,266","-58,409"
PNG,Papua New Guinea,Lower middle income (LM),1992,"-5,636","142,798"
PAN,Panama,Lower middle income (LM),1992,"8,348","-81,005"
PLW,Palau,NA,1992,"7,473","134,549"
PAK,Pakistan,Low income (L),1992,"281,854","666,429"
OMN,Oman,Upper middle income (UM),1992,"19,85","56,25"
NOR,Norway,High income (H),1992,"613,701","93,031"
MNP,Northern Mariana Islands,Lower middle income (LM),1992,"15,18","145,72"
NGA,Nigeria,Low income (L),1992,"93,417","7,678"
NER,Niger,Low income (L),1992,"16,996","9,915"
NIC,Nicaragua,Low income (L),1992,"12,692","-85,03"
NZL,New Zealand,High income (H),1992,"-42,558","172,377"
NCL,New Caledonia,Upper middle income (UM),1992,"-21,02","165,062"
NLD,Netherlands,High income (H),1992,"521,704","50,102"
NPL,Nepal,Low income (L),1992,"282,114","835,608"
NRU,Nauru,NA,1992,"-0,519","166,932"
NAM,Namibia,Lower middle income (LM),1992,"-21,276","17,219"
MMR,Myanmar,Low income (L),1992,"21,841","96,05"
MOZ,Mozambique,Low income (L),1992,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),1992,"31,129","-7,355"
MNE,Montenegro,NA,1992,"42,857","19,096"
MNG,Mongolia,Lower middle income (LM),1992,"46,516","102,564"
MCO,Monaco,NA,1992,"43,733","7,416"
MDA,Moldova,Lower middle income (LM),1992,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",Lower middle income (LM),1992,"7,531","150,457"
MEX,Mexico,Upper middle income (UM),1992,"22,925","-101,68"
MUS,Mauritius,Upper middle income (UM),1992,"-20,323","57,518"
MRT,Mauritania,Low income (L),1992,"19,413","-106,528"
MHL,Marshall Islands,Lower middle income (LM),1992,"5,961","169,651"
MLT,Malta,Upper middle income (UM),1992,"35,884","14,446"
MLI,Mali,Low income (L),1992,"18,211","-2,209"
MDV,Maldives,Low income (L),1992,"4,221","73,463"
MYS,Malaysia,Upper middle income (UM),1992,"4,416","102,099"
MWI,Malawi,Low income (L),1992,"-13,258","33,723"
MDG,Madagascar,Low income (L),1992,"-19,615","46,645"
MKD,"Macedonia, FYR",Lower middle income (LM),1992,"41,636","21,676"
MAC,"Macao SAR, China",Upper middle income (UM),1992,"22,132","113,558"
LUX,Luxembourg,High income (H),1992,"49,671","6,113"
LTU,Lithuania,Lower middle income (LM),1992,"55,342","24,23"
LIE,Liechtenstein,NA,1992,"47,105","9,556"
LBY,Libya,Upper middle income (UM),1992,"27,24","17,571"
LBR,Liberia,Low income (L),1992,"6,51","-9,33"
LSO,Lesotho,Low income (L),1992,"-29,446","28,371"
LBN,Lebanon,Lower middle income (LM),1992,"34,161","36,021"
LVA,Latvia,Lower middle income (LM),1992,"57,017","250,173"
LAO,Lao PDR,Low income (L),1992,"19,595","102,538"
KGZ,Kyrgyz Republic,Lower middle income (LM),1992,"41,741","75,043"
KWT,Kuwait,High income (H),1992,"29,396","47,326"
XKX,Kosovo,NA,1992,"42,546","20,921"
KOR,"Korea, Rep.",Upper middle income (UM),1992,"36,338","128,16"
PRK,"Korea, Dem. Rep.",Lower middle income (LM),1992,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),1992,"2,048","-158,59"
KEN,Kenya,Low income (L),1992,"0,806","38,166"
KAZ,Kazakhstan,Lower middle income (LM),1992,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),1992,"30,681","36,279"
JPN,Japan,High income (H),1992,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),1992,"18,163","-77,477"
ITA,Italy,High income (H),1992,"443,713","111,084"
ISR,Israel,High income (H),1992,"30,992","34,834"
IMN,Isle of Man,Upper middle income (UM),1992,"54,234","-4,522"
IRL,Ireland,High income (H),1992,"53,214","-7,588"
IRQ,Iraq,Lower middle income (LM),1992,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Lower middle income (LM),1992,"33,408","540,418"
IDN,Indonesia,Low income (L),1992,"-0,739","114,045"
IND,India,Low income (L),1992,"22,741","78,236"
ISL,Iceland,High income (H),1992,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),1992,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),1992,"22,436","114,099"
HND,Honduras,Low income (L),1992,"14,881","-87,123"
HTI,Haiti,Low income (L),1992,"193,175","-724,205"
GUY,Guyana,Low income (L),1992,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),1992,"12,191","-14,475"
GIN,Guinea,Low income (L),1992,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),1992,"15,124","-90,711"
GUM,Guam,Upper middle income (UM),1992,"13,37","144,7"
GRD,Grenada,Lower middle income (LM),1992,"12,107","-61,681"
GRL,Greenland,High income (H),1992,71,-39
GRC,Greece,Upper middle income (UM),1992,"39,787","21,617"
GIB,Gibraltar,Upper middle income (UM),1992,"361,323","-53,478"
GHA,Ghana,Low income (L),1992,"7,258","-1,062"
DEU,Germany,High income (H),1992,"513,819","99,877"
GEO,Georgia,Lower middle income (LM),1992,"42,05","43,576"
GMB,"Gambia, The",Low income (L),1992,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),1992,"-0,406","11,914"
PYF,French Polynesia,High income (H),1992,"-17,529","-149,53"
FRA,France,High income (H),1992,"46,656","2,543"
FIN,Finland,High income (H),1992,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),1992,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),1992,"62,053","-6,863"
ETH,Ethiopia,Low income (L),1992,"8,435","38,786"
EST,Estonia,Upper middle income (UM),1992,"58,777","25,977"
ERI,Eritrea,Low income (L),1992,"15,982","38,02"
GNQ,Equatorial Guinea,Low income (L),1992,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),1992,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Low income (L),1992,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),1992,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),1992,"19,01","-701,685"
DMA,Dominica,Lower middle income (LM),1992,"15,458","-61,35"
DJI,Djibouti,Lower middle income (LM),1992,"11,41","42,165"
DNK,Denmark,High income (H),1992,"56,113","9,096"
CZE,Czech Republic,Lower middle income (LM),1992,"49,848","152,812"
CYP,Cyprus,High income (H),1992,"34,894","32,928"
CUW,Curaçao,NA,1992,"12,166",-69
CUB,Cuba,Lower middle income (LM),1992,"20,571","-76,456"
HRV,Croatia,Lower middle income (LM),1992,"45,754","16,385"
CIV,Côte d'Ivoire,Lower middle income (LM),1992,"7,497","-5,336"
CRI,Costa Rica,Lower middle income (LM),1992,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),1992,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),1992,"-1,418","23,607"
COM,Comoros,Low income (L),1992,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),1992,"3,794","-73,606"
CHN,China,Low income (L),1992,"351,753","993,877"
CHL,Chile,Lower middle income (LM),1992,"-23,176","-69,201"
CHI,Channel Islands,High income (H),1992,"49,457","-2,572"
TCD,Chad,Low income (L),1992,"15,981","18,781"
CAF,Central African Republic,Low income (L),1992,"7,043","21,424"
CYM,Cayman Islands,NA,1992,"19,331","-81,25"
CAN,Canada,High income (H),1992,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),1992,"4,4","12,131"
KHM,Cambodia,Low income (L),1992,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),1992,"15,416","-23,36"
BDI,Burundi,Low income (L),1992,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),1992,"12,673","-1,226"
BGR,Bulgaria,Lower middle income (LM),1992,"42,625","24,521"
BRN,Brunei Darussalam,High income (H),1992,"4,452","114,557"
VGB,British Virgin Islands,NA,1992,"18,439","-64,586"
BRA,Brazil,Upper middle income (UM),1992,"-11,694","-48,978"
BWA,Botswana,Upper middle income (UM),1992,"-22,126","23,662"
BIH,Bosnia and Herzegovina,Lower middle income (LM),1992,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),1992,"-16,71","-65,183"
BTN,Bhutan,Low income (L),1992,"274,902","902,151"
BMU,Bermuda,High income (H),1992,"32,3","-64,761"
BEN,Benin,Low income (L),1992,"10,478","2,274"
BLZ,Belize,Lower middle income (LM),1992,"17,108","-88,744"
BEL,Belgium,High income (H),1992,"506,745","44,588"
BLR,Belarus,Upper middle income (UM),1992,"533,292","279,492"
BRB,Barbados,Upper middle income (UM),1992,"13,147","-59,557"
BGD,Bangladesh,Low income (L),1992,"24,598","901,963"
BHR,Bahrain,Upper middle income (UM),1992,"26,028","50,55"
BHS,"Bahamas, The",High income (H),1992,"24,616","-77,989"
AZE,Azerbaijan,Lower middle income (LM),1992,"40,46","47,883"
AUT,Austria,High income (H),1992,"47,65","14,705"
AUS,Australia,High income (H),1992,"-24,578","133,582"
ABW,Aruba,Upper middle income (UM),1992,"12,556","-70,024"
ARM,Armenia,Lower middle income (LM),1992,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),1992,"-33,166","-64,31"
ATG,Antigua and Barbuda,Upper middle income (UM),1992,"17,625","-61,786"
AGO,Angola,Lower middle income (LM),1992,"-12,836","17,808"
AND,Andorra,High income (H),1992,"42,541","1,546"
ASM,American Samoa,Upper middle income (UM),1992,"-14,316","-170,76"
DZA,Algeria,Lower middle income (LM),1992,"286,045","2,64"
ALB,Albania,Lower middle income (LM),1992,"40,654","20,076"
AFG,Afghanistan,Low income (L),1992,"34,023","655,267"
ZWE,Zimbabwe,Low income (L),1993,"-19,098","30,047"
ZMB,Zambia,Low income (L),1993,"-15,13","25,268"
YEM,"Yemen, Rep.",Low income (L),1993,"15,569","47,793"
PSE,West Bank and Gaza,NA,1993,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),1993,"17,74","-64,8"
VNM,Vietnam,Low income (L),1993,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),1993,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),1993,"-15,339","166,89"
UZB,Uzbekistan,Lower middle income (LM),1993,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),1993,"-32,948","-56,249"
USA,United States,High income (H),1993,"400,792","-988,164"
GBR,United Kingdom,High income (H),1993,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),1993,"239,299","539,031"
UKR,Ukraine,Lower middle income (LM),1993,"49,364","32,132"
UGA,Uganda,Low income (L),1993,"19,392","327,415"
TUV,Tuvalu,NA,1993,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,1993,"21,816","-71,799"
TKM,Turkmenistan,Lower middle income (LM),1993,"39,584","59,597"
TUR,Turkey,Lower middle income (LM),1993,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),1993,"35,594","9,421"
TTO,Trinidad and Tobago,Upper middle income (UM),1993,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),1993,"-21,167","-175,19"
TGO,Togo,Low income (L),1993,"7,7","1,106"
TLS,Timor-Leste,NA,1993,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),1993,"15,688","100,845"
TZA,Tanzania,Low income (L),1993,"-5,651","34,146"
TJK,Tajikistan,Low income (L),1993,"38,367","72,597"
TWN,"Taiwan, China",High income (H),1993,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),1993,"35,303","38,322"
CHE,Switzerland,High income (H),1993,"467,794","80,329"
SWE,Sweden,High income (H),1993,"662,188",19
SWZ,Swaziland,Lower middle income (LM),1993,"-26,596","31,47"
SUR,Suriname,Lower middle income (LM),1993,"4,248","-55,848"
SDN,Sudan,Low income (L),1993,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Lower middle income (LM),1993,"13,234","-61,202"
MAF,St. Martin (French part),NA,1993,"18,081","-63,046"
LCA,St. Lucia,Upper middle income (UM),1993,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),1993,"17,147","-62,58"
LKA,Sri Lanka,Low income (L),1993,"7,3","80,727"
ESP,Spain,High income (H),1993,"40,617","-3,388"
SSD,South Sudan,NA,1993,"7,1","30,48"
ZAF,South Africa,Upper middle income (UM),1993,"-31,7","23,441"
SOM,Somalia,Low income (L),1993,"2,875","43,446"
SLB,Solomon Islands,Lower middle income (LM),1993,"-9,611","160,19"
SVN,Slovenia,Upper middle income (UM),1993,"46,037","14,534"
SVK,Slovak Republic,Lower middle income (LM),1993,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,1993,"18,041","-63,066"
SGP,Singapore,High income (H),1993,"1,364","103,81"
SLE,Sierra Leone,Low income (L),1993,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),1993,"-4,627","55,461"
SRB,Serbia,NA,1993,"44,021","20,699"
SEN,Senegal,Lower middle income (LM),1993,"15,044","-15,081"
SAU,Saudi Arabia,Upper middle income (UM),1993,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),1993,"0,233","6,589"
SMR,San Marino,High income (H),1993,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),1993,"-13,625","-172,42"
RWA,Rwanda,Low income (L),1993,"-1,887","29,904"
RUS,Russian Federation,Lower middle income (LM),1993,"64,736","104,062"
ROU,Romania,Lower middle income (LM),1993,"45,933","25,119"
QAT,Qatar,High income (H),1993,"25,168","51,17"
PRI,Puerto Rico,Upper middle income (UM),1993,"18,242","-66,643"
PRT,Portugal,Upper middle income (UM),1993,"40,957","-79,373"
POL,Poland,Lower middle income (LM),1993,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),1993,"17,181","121,256"
PER,Peru,Lower middle income (LM),1993,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),1993,"-23,266","-58,409"
PNG,Papua New Guinea,Lower middle income (LM),1993,"-5,636","142,798"
PAN,Panama,Lower middle income (LM),1993,"8,348","-81,005"
PLW,Palau,NA,1993,"7,473","134,549"
PAK,Pakistan,Low income (L),1993,"281,854","666,429"
OMN,Oman,Upper middle income (UM),1993,"19,85","56,25"
NOR,Norway,High income (H),1993,"613,701","93,031"
MNP,Northern Mariana Islands,Lower middle income (LM),1993,"15,18","145,72"
NGA,Nigeria,Low income (L),1993,"93,417","7,678"
NER,Niger,Low income (L),1993,"16,996","9,915"
NIC,Nicaragua,Low income (L),1993,"12,692","-85,03"
NZL,New Zealand,High income (H),1993,"-42,558","172,377"
NCL,New Caledonia,Upper middle income (UM),1993,"-21,02","165,062"
NLD,Netherlands,High income (H),1993,"521,704","50,102"
NPL,Nepal,Low income (L),1993,"282,114","835,608"
NRU,Nauru,NA,1993,"-0,519","166,932"
NAM,Namibia,Lower middle income (LM),1993,"-21,276","17,219"
MMR,Myanmar,Low income (L),1993,"21,841","96,05"
MOZ,Mozambique,Low income (L),1993,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),1993,"31,129","-7,355"
MNE,Montenegro,NA,1993,"42,857","19,096"
MNG,Mongolia,Low income (L),1993,"46,516","102,564"
MCO,Monaco,NA,1993,"43,733","7,416"
MDA,Moldova,Lower middle income (LM),1993,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",Lower middle income (LM),1993,"7,531","150,457"
MEX,Mexico,Upper middle income (UM),1993,"22,925","-101,68"
MUS,Mauritius,Upper middle income (UM),1993,"-20,323","57,518"
MRT,Mauritania,Low income (L),1993,"19,413","-106,528"
MHL,Marshall Islands,Lower middle income (LM),1993,"5,961","169,651"
MLT,Malta,Upper middle income (UM),1993,"35,884","14,446"
MLI,Mali,Low income (L),1993,"18,211","-2,209"
MDV,Maldives,Lower middle income (LM),1993,"4,221","73,463"
MYS,Malaysia,Upper middle income (UM),1993,"4,416","102,099"
MWI,Malawi,Low income (L),1993,"-13,258","33,723"
MDG,Madagascar,Low income (L),1993,"-19,615","46,645"
MKD,"Macedonia, FYR",Lower middle income (LM),1993,"41,636","21,676"
MAC,"Macao SAR, China",Upper middle income (UM),1993,"22,132","113,558"
LUX,Luxembourg,High income (H),1993,"49,671","6,113"
LTU,Lithuania,Lower middle income (LM),1993,"55,342","24,23"
LIE,Liechtenstein,NA,1993,"47,105","9,556"
LBY,Libya,Upper middle income (UM),1993,"27,24","17,571"
LBR,Liberia,Low income (L),1993,"6,51","-9,33"
LSO,Lesotho,Low income (L),1993,"-29,446","28,371"
LBN,Lebanon,Lower middle income (LM),1993,"34,161","36,021"
LVA,Latvia,Lower middle income (LM),1993,"57,017","250,173"
LAO,Lao PDR,Low income (L),1993,"19,595","102,538"
KGZ,Kyrgyz Republic,Lower middle income (LM),1993,"41,741","75,043"
KWT,Kuwait,High income (H),1993,"29,396","47,326"
XKX,Kosovo,NA,1993,"42,546","20,921"
KOR,"Korea, Rep.",Upper middle income (UM),1993,"36,338","128,16"
PRK,"Korea, Dem. Rep.",Lower middle income (LM),1993,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),1993,"2,048","-158,59"
KEN,Kenya,Low income (L),1993,"0,806","38,166"
KAZ,Kazakhstan,Lower middle income (LM),1993,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),1993,"30,681","36,279"
JPN,Japan,High income (H),1993,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),1993,"18,163","-77,477"
ITA,Italy,High income (H),1993,"443,713","111,084"
ISR,Israel,High income (H),1993,"30,992","34,834"
IMN,Isle of Man,Upper middle income (UM),1993,"54,234","-4,522"
IRL,Ireland,High income (H),1993,"53,214","-7,588"
IRQ,Iraq,Lower middle income (LM),1993,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Lower middle income (LM),1993,"33,408","540,418"
IDN,Indonesia,Lower middle income (LM),1993,"-0,739","114,045"
IND,India,Low income (L),1993,"22,741","78,236"
ISL,Iceland,High income (H),1993,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),1993,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),1993,"22,436","114,099"
HND,Honduras,Low income (L),1993,"14,881","-87,123"
HTI,Haiti,Low income (L),1993,"193,175","-724,205"
GUY,Guyana,Low income (L),1993,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),1993,"12,191","-14,475"
GIN,Guinea,Low income (L),1993,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),1993,"15,124","-90,711"
GUM,Guam,Upper middle income (UM),1993,"13,37","144,7"
GRD,Grenada,Lower middle income (LM),1993,"12,107","-61,681"
GRL,Greenland,High income (H),1993,71,-39
GRC,Greece,Upper middle income (UM),1993,"39,787","21,617"
GIB,Gibraltar,Upper middle income (UM),1993,"361,323","-53,478"
GHA,Ghana,Low income (L),1993,"7,258","-1,062"
DEU,Germany,High income (H),1993,"513,819","99,877"
GEO,Georgia,Low income (L),1993,"42,05","43,576"
GMB,"Gambia, The",Low income (L),1993,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),1993,"-0,406","11,914"
PYF,French Polynesia,High income (H),1993,"-17,529","-149,53"
FRA,France,High income (H),1993,"46,656","2,543"
FIN,Finland,High income (H),1993,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),1993,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),1993,"62,053","-6,863"
ETH,Ethiopia,Low income (L),1993,"8,435","38,786"
EST,Estonia,Upper middle income (UM),1993,"58,777","25,977"
ERI,Eritrea,Low income (L),1993,"15,982","38,02"
GNQ,Equatorial Guinea,Low income (L),1993,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),1993,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Low income (L),1993,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),1993,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),1993,"19,01","-701,685"
DMA,Dominica,Lower middle income (LM),1993,"15,458","-61,35"
DJI,Djibouti,Lower middle income (LM),1993,"11,41","42,165"
DNK,Denmark,High income (H),1993,"56,113","9,096"
CZE,Czech Republic,Lower middle income (LM),1993,"49,848","152,812"
CYP,Cyprus,High income (H),1993,"34,894","32,928"
CUW,Curaçao,NA,1993,"12,166",-69
CUB,Cuba,Lower middle income (LM),1993,"20,571","-76,456"
HRV,Croatia,Lower middle income (LM),1993,"45,754","16,385"
CIV,Côte d'Ivoire,Low income (L),1993,"7,497","-5,336"
CRI,Costa Rica,Lower middle income (LM),1993,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),1993,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),1993,"-1,418","23,607"
COM,Comoros,Low income (L),1993,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),1993,"3,794","-73,606"
CHN,China,Low income (L),1993,"351,753","993,877"
CHL,Chile,Upper middle income (UM),1993,"-23,176","-69,201"
CHI,Channel Islands,High income (H),1993,"49,457","-2,572"
TCD,Chad,Low income (L),1993,"15,981","18,781"
CAF,Central African Republic,Low income (L),1993,"7,043","21,424"
CYM,Cayman Islands,High income (H),1993,"19,331","-81,25"
CAN,Canada,High income (H),1993,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),1993,"4,4","12,131"
KHM,Cambodia,Low income (L),1993,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),1993,"15,416","-23,36"
BDI,Burundi,Low income (L),1993,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),1993,"12,673","-1,226"
